>Tester

***INSERTIONS***
N 		Random 		Ascending 	Descending 	n*sqrt(n)
=========================================================================
10		54		69		40		31

50		472		681		268		353

100		1252		1870		640		1000

500		12388		19226		5048		11180

1000		33297		53612		12912		31622

5000		363187		593640		129280		353553

10000		1022095		1686700		363400		1000000


***SEARCHES***
N 		Random 		 n*sqrt(n)
=========================================================================
10		30		31

50		161		353

100		347		1000

500		2142		11180

1000		3966		31622

5000		23488		353553

10000		46219		1000000

>Exit code: 0
